37	20	6	15	1	
0	10.00	10.00	0	0	960	0	2	
1	9.58	17.04	-6	195	203	3	0	
2	3.32	19.72	-5	163	180	3	0	
3	19.26	9.95	2	10	16	1	0	
4	1.52	0.48	-6	223	233	3	0	
5	1.53	14.72	5	519	524	3	0	
6	11.30	1.99	2	151	171	1	0	
7	17.17	10.60	-1	117	122	1	0	
8	6.17	8.83	1	670	675	1	0	
9	17.36	16.53	4	157	165	2	0	
10	19.13	19.33	-1	222	229	1	0	
11	7.17	0.16	-6	127	147	3	0	
12	18.33	3.85	5	101	116	3	0	
13	14.35	16.86	3	142	153	2	0	
14	15.61	11.34	-6	607	623	3	0	
15	2.02	19.17	3	254	259	2	0	
16	15.96	9.23	5	193	208	3	0	
17	6.30	9.61	-1	195	214	1	0	
18	13.00	2.23	4	255	271	2	0	
19	19.26	16.01	-1	329	344	1	0	
20	14.06	9.64	3	595	610	2	0	
21	9.97	15.40	1	99	118	1	0	
22	10.02	9.69	-3	310	323	2	0	
23	0.73	9.29	2	824	844	1	0	
24	19.05	5.52	-2	667	681	1	0	
25	16.29	1.91	1	208	225	1	0	
26	11.95	7.73	-4	222	240	2	0	
27	7.46	18.19	-3	5	22	2	0	
28	11.43	8.28	5	80	97	3	0	
29	17.57	13.32	5	666	679	3	0	
30	13.05	15.47	5	655	660	3	0	
31	10.80	0.82	5	212	217	3	0	
32	13.69	19.21	-3	713	722	2	0	
33	12.40	12.11	3	617	632	2	0	
34	12.76	10.74	4	30	40	2	0	
35	3.95	5.94	6	561	567	3	0	
36	6.97	1.26	-3	918	929	2	0	
37	4.67	9.21	4	751	767	2	0	
38	2.41	0.51	-6	87	93	3	0	
39	15.11	17.21	1	859	876	1	0	
40	16.26	4.81	3	128	139	2	0	
41	10.85	19.79	6	331	343	3	0	
42	3.44	9.24	-1	74	81	1	0	
43	17.36	9.52	6	136	152	3	0	
44	8.51	8.30	2	119	129	1	0	
45	12.92	7.17	-3	789	796	2	0	
46	5.12	9.33	-2	768	786	1	0	
47	2.53	2.99	5	147	164	3	0	
48	0.43	11.48	3	806	825	2	0	
49	16.28	12.39	-6	696	710	3	0	
50	5.44	13.58	2	734	746	1	0	
51	10.27	10.72	-4	236	256	2	0	
52	9.01	10.75	-4	195	211	2	0	
53	19.39	2.98	5	306	321	3	0	
54	17.94	19.04	1	262	275	1	0	
55	16.16	12.13	3	656	661	2	0	
56	9.89	5.03	-6	242	260	3	0	
57	16.67	15.93	-5	255	266	3	0	
58	16.38	2.21	-6	22	40	3	0	
59	2.31	8.59	5	617	628	3	0	
60	3.65	0.12	-5	345	362	3	0	
61	15.75	15.56	2	858	868	1	0	
62	18.03	9.59	-4	711	729	2	0	
63	18.64	19.70	4	624	640	2	0	
64	19.35	2.58	1	731	748	1	0	
65	6.17	4.31	4	387	403	2	0	
66	9.82	3.06	6	683	703	3	0	
67	0.22	2.96	5	167	186	3	0	
68	16.62	3.54	-5	433	438	3	0	
69	10.35	14.89	-3	696	711	2	0	
70	1.01	19.87	5	722	737	3	0	
71	1.18	12.84	-4	583	593	2	0	
72	7.69	9.71	-4	658	666	2	0	
73	8.74	11.93	-1	139	152	1	0	
74	1.54	2.05	1	499	516	1	0	
75	10.21	5.08	-1	225	236	1	0	
76	9.32	10.21	4	750	760	2	0	
77	19.17	11.29	4	801	809	2	0	
78	17.35	17.96	-2	567	587	1	0	
79	6.12	7.20	-5	761	774	3	0	
80	10.29	14.90	3	861	868	2	0	
81	15.28	0.26	5	209	216	3	0	
82	8.71	6.79	-6	806	820	3	0	
83	7.01	3.53	4	708	718	2	0	
84	5.35	5.36	3	556	571	2	0	
85	2.62	6.51	-4	776	794	2	0	
86	4.04	15.43	-2	742	750	1	0	
87	4.76	3.97	-4	697	705	2	0	
88	10.76	17.61	-3	63	80	2	0	
89	11.90	8.38	-5	272	277	3	0	
90	4.32	2.46	-5	711	728	3	0	
91	14.60	12.84	3	67	76	2	0	
92	18.35	13.36	5	106	115	3	0	
93	7.56	3.07	2	110	126	1	0	
94	9.28	18.23	-3	725	744	2	0	
95	8.72	11.44	1	29	44	1	0	
96	8.40	19.43	6	665	677	3	0	
97	13.04	7.50	3	795	814	2	0	
98	12.25	1.79	-1	621	628	1	0	
99	11.73	5.86	4	141	161	2	0	
100	9.28	4.91	5	651	668	3	0	
101	13.30	16.98	5	740	749	3	0	
102	5.40	19.04	-1	562	567	1	0	
103	15.68	14.46	1	380	389	1	0	
104	11.09	9.46	5	718	737	3	0	
105	0.94	18.02	-4	802	820	2	0	
106	15.78	11.87	-3	206	221	2	0	
107	13.19	6.89	5	608	621	3	0	
108	16.51	7.43	2	51	71	1	0	
109	12.44	19.76	2	104	110	1	0	
110	16.74	7.34	4	628	642	2	0	
111	10.57	7.94	-5	854	871	3	0	
112	13.07	6.93	-4	297	317	2	0	
113	10.80	6.50	-6	735	741	3	0	
114	19.16	14.77	2	833	845	1	0	
115	9.26	18.71	-1	303	312	1	0	
116	17.35	6.83	-3	770	789	2	0	
117	8.92	14.43	-1	777	782	1	0	
118	10.11	5.20	6	628	648	3	0	
119	12.62	9.07	5	110	115	3	0	
120	7.34	18.02	1	728	747	1	0	
121	16.69	13.26	-1	770	777	1	0	
122	14.85	11.64	-1	179	186	1	0	
123	3.42	10.41	5	125	142	3	0	
124	15.64	11.07	-5	111	128	3	0	
125	15.25	19.14	6	771	779	3	0	
126	5.52	19.00	1	38	55	1	0	
127	5.49	5.53	-2	677	687	1	0	
128	14.24	7.68	-3	72	77	2	0	
129	16.17	3.53	2	262	278	1	0	
130	9.49	7.12	-1	619	630	1	0	
131	15.75	4.06	4	194	212	2	0	
132	0.08	2.15	-5	408	415	3	0	
133	12.73	16.02	6	178	184	3	0	
134	11.04	19.24	-6	714	732	3	0	
135	13.37	13.83	-4	142	148	2	0	
136	16.15	6.40	5	228	233	3	0	
137	18.90	11.27	3	30	49	2	0	
138	1.35	7.76	-1	50	57	1	0	
139	12.57	3.03	6	560	574	3	0	
140	17.06	18.26	1	798	817	1	0	
141	7.11	11.79	5	231	240	3	0	
142	8.70	10.09	-2	744	752	1	0	
143	17.40	19.76	2	877	897	1	0	
144	19.60	3.15	-2	547	565	1	0	
145	8.00	8.64	6	173	193	3	0	
146	0.47	5.20	2	844	860	1	0	
147	11.26	11.51	5	782	791	3	0	
148	4.12	9.53	-4	226	246	2	0	
149	6.71	16.87	-1	741	756	1	0	
150	11.68	10.92	3	835	846	2	0	
151	9.37	3.00	-6	346	366	3	0	
152	8.38	12.02	1	199	214	1	0	
153	4.51	8.26	-1	43	52	1	0	
154	4.09	2.83	-4	685	697	2	0	
155	10.34	6.03	2	756	768	1	0	
156	16.92	0.11	4	552	568	2	0	
157	1.42	4.88	1	167	176	1	0	
158	11.22	1.10	2	843	861	1	0	
159	0.09	7.73	1	733	742	1	0	
160	9.35	10.43	4	137	155	2	0	
161	13.84	3.83	2	688	704	1	0	
162	8.19	10.40	4	745	753	2	0	
163	16.79	15.14	6	182	188	3	0	
164	18.47	8.66	4	497	511	2	0	
165	6.52	6.73	1	119	134	1	0	
166	16.76	12.26	-4	687	699	2	0	
167	4.25	13.75	3	102	111	2	0	
168	18.29	2.22	5	256	261	3	0	
169	13.97	19.59	1	758	767	1	0	
170	8.46	11.95	5	647	666	3	0	
171	16.52	8.37	1	734	739	1	0	
172	2.60	19.59	-1	117	130	1	0	
173	8.62	6.27	-6	187	197	3	0	
174	12.92	1.99	3	347	358	2	0	
175	5.68	11.59	2	296	312	1	0	
176	7.48	1.11	4	157	165	2	0	
177	3.20	18.67	1	194	201	1	0	
178	1.91	10.23	4	664	680	2	0	
179	10.98	10.47	-3	672	689	2	0	
180	1.35	2.15	-5	819	830	3	0	
181	16.56	11.61	-4	759	767	2	0	
182	12.49	6.08	-5	625	644	3	0	
183	6.81	10.54	1	182	195	1	0	
184	16.09	1.99	-5	652	665	3	0	
185	4.37	19.57	-4	240	260	2	0	
186	8.97	6.73	-6	747	755	3	0	
187	19.25	1.31	-2	188	206	1	0	
188	8.27	15.49	3	364	379	2	0	
189	2.79	16.49	6	819	831	3	0	
190	1.41	2.47	5	178	193	3	0	
191	8.40	15.26	-5	147	166	3	0	
192	13.44	16.71	3	757	768	2	0	
193	7.06	0.49	-4	107	117	2	0	
194	9.68	5.96	-2	121	127	1	0	
195	1.00	1.89	3	124	129	2	0	
196	10.37	0.39	3	693	708	2	0	
197	17.91	3.94	5	263	274	3	0	
198	19.17	3.32	5	771	784	3	0	
199	7.83	1.56	3	45	54	2	0	
200	16.88	13.54	2	697	709	1	0	
201	13.67	18.46	5	810	821	3	0	
202	1.19	4.16	-4	598	608	2	0	
203	16.51	10.93	-6	89	101	3	0	
204	17.62	4.61	4	219	229	2	0	
205	8.14	14.31	2	720	736	1	0	
206	5.36	5.41	5	542	555	3	0	
207	11.70	13.13	-3	594	605	2	0	
208	2.47	0.30	3	234	249	2	0	
209	2.10	9.25	2	872	882	1	0	
210	6.24	5.64	4	693	699	2	0	
211	16.34	8.41	5	138	149	3	0	
212	8.02	8.81	-2	857	873	1	0	
213	1.81	14.88	3	942	951	2	0	
214	16.87	4.61	-2	338	344	1	0	
215	3.73	15.98	-3	90	97	2	0	
216	1.05	13.55	6	578	584	3	0	
217	1.17	13.21	-3	622	637	2	0	
218	7.02	4.51	4	193	213	2	0	
219	19.96	16.97	3	207	218	2	0	
220	4.44	17.28	3	731	736	2	0	
221	1.67	19.20	5	302	309	3	0	
222	10.42	4.04	3	766	783	2	0	
223	16.54	8.34	5	763	780	3	0	
224	5.75	8.70	5	942	951	3	0	
225	1.69	3.25	-3	115	122	2	0	
226	11.76	11.12	-1	135	148	1	0	
227	14.11	15.92	6	780	790	3	0	
228	16.76	1.83	6	80	98	3	0	
229	16.84	17.63	2	196	214	1	0	
230	1.75	11.33	4	790	802	2	0	
231	4.88	8.90	-2	618	634	1	0	
232	18.10	3.08	-3	182	199	2	0	
233	4.19	2.00	1	586	603	1	0	
234	14.21	19.09	5	7	26	3	0	
